abbreviation,assists,blocks,defensive_rebounds,field_goal_attempts,field_goal_percentage,field_goals,free_throw_attempts,free_throw_percentage,free_throws,games_played,minutes_played,name,offensive_rebounds,opp_assists,opp_blocks,opp_defensive_rebounds,opp_field_goal_attempts,opp_field_goal_percentage,opp_field_goals,opp_free_throw_attempts,opp_free_throw_percentage,opp_free_throws,opp_offensive_rebounds,opp_personal_fouls,opp_points,opp_steals,opp_three_point_field_goal_attempts,opp_three_point_field_goal_percentage,opp_three_point_field_goals,opp_total_rebounds,opp_turnovers,opp_two_point_field_goal_attempts,opp_two_point_field_goal_percentage,opp_two_point_field_goals,personal_fouls,points,rank,steals,three_point_field_goal_attempts,three_point_field_goal_percentage,three_point_field_goals,total_rebounds,turnovers,two_point_field_goal_attempts,two_point_field_goal_percentage,two_point_field_goals,season
SAC,2237,275,2699,7232,0.494,3573,2055,0.79,1624,82,19830,Sacramento Kings,782,2187,341,2665,7288,0.492,3589,1882,0.787,1481,795,1711,9681,598,2740,0.373,1022,3460,1165,4548,0.564,2567,1616,9898,1,574,3060,0.369,1128,3481,1106,4172,0.586,2445,2023
GSW,2446,323,2793,7393,0.479,3538,1655,0.794,1314,82,19830,Golden State Warriors,864,2110,326,2673,7423,0.469,3478,2067,0.769,1589,880,1510,9605,646,2915,0.364,1060,3553,1172,4508,0.536,2418,1757,9753,2,588,3540,0.385,1363,3657,1336,3853,0.564,2175,2023
ATL,2049,401,2719,7574,0.483,3658,1850,0.818,1513,82,19855,Atlanta Hawks,920,2131,414,2751,7398,0.486,3592,1899,0.803,1524,866,1612,9687,616,2748,0.356,979,3617,1162,4650,0.562,2613,1541,9711,3,580,2505,0.352,882,3639,1060,5069,0.548,2776,2023
BOS,2186,430,2921,7278,0.475,3460,1769,0.812,1436,82,19980,Boston Celtics,796,1895,318,2810,7394,0.463,3425,1733,0.769,1332,799,1568,9136,544,2763,0.345,954,3609,1040,4631,0.534,2471,1542,9671,4,521,3492,0.377,1315,3717,1095,3786,0.567,2145,2023
OKC,2002,341,2645,7590,0.465,3533,1944,0.809,1572,82,19855,Oklahoma City Thunder,934,2126,454,2841,7252,0.474,3437,2090,0.771,1611,982,1675,9544,572,2955,0.358,1059,3823,1375,4297,0.553,2378,1722,9633,5,676,2797,0.356,995,3579,1069,4793,0.53,2538,2023
LAL,2072,378,2930,7298,0.482,3516,2182,0.775,1691,82,19880,Los Angeles Lakers,818,2104,416,2770,7698,0.469,3607,1706,0.773,1319,908,1760,9561,624,2991,0.344,1028,3678,1035,4707,0.548,2579,1466,9608,6,526,2558,0.346,885,3748,1154,4740,0.555,2631,2023
UTA,2129,429,2794,7365,0.473,3485,1955,0.786,1536,82,19805,Utah Jazz,968,2047,405,2644,7515,0.473,3555,1989,0.776,1544,919,1679,9677,639,2830,0.361,1023,3563,1030,4685,0.54,2532,1679,9600,7,500,3099,0.353,1094,3762,1259,4266,0.56,2391,2023
MIL,2115,403,3074,7411,0.473,3504,1837,0.743,1364,82,19830,Milwaukee Bucks,914,1963,323,2744,7644,0.456,3483,1719,0.776,1334,879,1557,9291,578,2799,0.354,991,3623,970,4845,0.514,2492,1481,9589,8,521,3306,0.368,1217,3988,1199,4105,0.557,2287,2023
MEM,2135,473,2835,7551,0.475,3585,1954,0.733,1432,82,19780,Memphis Grizzlies,988,2167,427,2738,7365,0.453,3340,1931,0.787,1519,902,1644,9264,559,2998,0.355,1065,3640,1240,4367,0.521,2275,1643,9587,9,680,2807,0.351,985,3823,1116,4744,0.548,2600,2023
IND,2213,478,2575,7345,0.469,3444,1944,0.79,1535,82,19755,Indiana Pacers,832,2163,438,2721,7323,0.485,3549,2100,0.8,1679,993,1660,9796,650,2733,0.373,1019,3714,1235,4590,0.551,2530,1741,9535,10,631,3030,0.367,1112,3407,1225,4315,0.54,2332,2023
NYK,1880,340,2790,7328,0.47,3444,2087,0.761,1589,82,19955,New York Knicks,1031,2062,370,2617,7229,0.462,3343,1943,0.782,1520,830,1694,9274,496,2992,0.357,1068,3447,1044,4237,0.537,2275,1666,9514,11,527,2930,0.354,1037,3821,1065,4398,0.547,2407,2023
DEN,2368,368,2699,7088,0.504,3574,1834,0.751,1378,82,19755,Denver Nuggets,828,2105,344,2516,7166,0.478,3423,1861,0.775,1443,832,1601,9222,646,2711,0.344,933,3348,1105,4455,0.559,2490,1525,9495,12,618,2559,0.379,969,3527,1192,4529,0.575,2605,2023
MIN,2145,444,2686,7167,0.49,3515,1942,0.755,1467,82,19830,Minnesota Timberwolves,749,2051,336,2734,7277,0.471,3428,2133,0.766,1634,928,1654,9497,674,2728,0.369,1007,3662,1262,4549,0.532,2421,1768,9494,13,657,2731,0.365,997,3435,1258,4436,0.568,2518,2023
PHI,2063,389,2641,6870,0.487,3347,2058,0.835,1719,82,19880,Philadelphia 76ers,715,1986,380,2593,7005,0.473,3312,1943,0.781,1518,782,1607,9094,540,2735,0.348,952,3375,1171,4270,0.553,2360,1675,9448,14,635,2675,0.387,1035,3356,1121,4195,0.551,2312,2023
NOP,2122,337,2717,7180,0.48,3447,2000,0.793,1585,82,19855,New Orleans Pelicans,866,2044,386,2634,7105,0.472,3357,1935,0.779,1507,792,1673,9223,600,2953,0.339,1002,3426,1228,4152,0.567,2355,1678,9378,15,681,2468,0.364,899,3583,1196,4712,0.541,2548,2023
DAL,1880,304,2556,6909,0.475,3283,2057,0.755,1554,82,19930,Dallas Mavericks,625,2044,312,2838,7065,0.485,3425,2046,0.781,1597,830,1789,9360,522,2596,0.352,913,3668,1075,4469,0.562,2512,1697,9366,16,514,3362,0.371,1246,3181,1002,3547,0.574,2037,2023
PHO,2235,432,2657,7388,0.467,3453,1781,0.793,1412,82,19780,Phoenix Suns,971,1915,327,2676,7044,0.466,3280,2101,0.786,1651,840,1629,9149,588,2628,0.357,938,3516,1183,4416,0.53,2342,1739,9319,17,585,2674,0.374,1001,3628,1110,4714,0.52,2452,2023
LAC,1959,364,2742,7059,0.477,3370,1962,0.781,1533,82,19830,Los Angeles Clippers,803,2048,343,2699,7243,0.474,3430,1832,0.771,1413,838,1607,9273,640,2738,0.365,1000,3537,1065,4505,0.539,2430,1598,9314,18,580,2735,0.381,1041,3545,1167,4324,0.539,2329,2023
POR,1981,376,2551,7001,0.474,3317,2021,0.796,1609,82,19730,Portland Trail Blazers,774,2214,352,2686,7176,0.491,3522,1977,0.787,1555,857,1679,9628,640,2717,0.379,1029,3543,1108,4459,0.559,2493,1643,9299,19,553,2893,0.365,1056,3325,1185,4108,0.55,2261,2023
BRK,2093,506,2648,6978,0.487,3399,1811,0.8,1449,82,19730,Brooklyn Nets,674,1916,317,2758,7257,0.463,3360,2003,0.767,1537,943,1517,9225,575,2640,0.367,968,3701,1126,4617,0.518,2392,1730,9295,20,585,2771,0.378,1048,3322,1127,4207,0.559,2351,2023
WAS,2083,424,2804,7127,0.485,3456,1838,0.785,1442,82,19755,Washington Wizards,774,2035,406,2645,7363,0.473,3481,1794,0.798,1432,883,1590,9378,581,2688,0.366,984,3528,1008,4675,0.534,2497,1539,9279,21,561,2601,0.356,925,3578,1158,4526,0.559,2531,2023
CHI,2006,371,2779,7116,0.49,3488,1788,0.809,1446,82,19905,Chicago Bulls,694,2131,389,2763,7142,0.468,3339,1806,0.779,1406,791,1537,9170,546,3042,0.357,1086,3554,1234,4100,0.55,2253,1551,9276,22,644,2367,0.361,854,3473,1097,4749,0.555,2634,2023
SAS,2232,322,2619,7593,0.465,3533,1739,0.743,1292,82,19855,San Antonio Spurs,965,2198,431,2811,7460,0.507,3780,1942,0.77,1496,877,1516,10092,665,2651,0.391,1036,3688,1135,4809,0.571,2744,1630,9269,23,572,2640,0.345,911,3584,1253,4953,0.529,2622,2023
TOR,1961,424,2485,7489,0.459,3434,1922,0.784,1506,82,19805,Toronto Raptors,1043,2148,376,2709,6752,0.491,3312,1893,0.797,1508,757,1604,9133,492,2676,0.374,1001,3466,1367,4076,0.567,2311,1641,9254,24,772,2626,0.335,880,3528,956,4863,0.525,2554,2023
CLE,2045,384,2574,6984,0.488,3408,1844,0.78,1439,82,19880,Cleveland Cavaliers,795,1888,360,2580,6847,0.468,3201,1838,0.782,1438,801,1675,8764,575,2508,0.368,924,3381,1284,4339,0.525,2277,1560,9205,25,586,2589,0.367,950,3369,1094,4395,0.559,2458,2023
ORL,1906,382,2713,7074,0.47,3323,2050,0.784,1607,82,19780,Orlando Magic,833,2122,415,2669,7127,0.476,3389,1890,0.796,1504,779,1681,9346,634,3030,0.351,1064,3448,1204,4097,0.567,2325,1652,9136,26,603,2551,0.346,883,3546,1236,4523,0.539,2440,2023
CHO,2062,425,2751,7413,0.457,3385,1933,0.749,1447,82,19830,Charlotte Hornets,901,2127,471,2892,7391,0.477,3522,1965,0.795,1562,895,1667,9610,573,2812,0.357,1004,3787,1177,4579,0.55,2518,1661,9098,27,634,2669,0.33,881,3652,1164,4744,0.528,2504,2023
HOU,1835,374,2695,7287,0.457,3329,2078,0.754,1567,82,19755,Houston Rockets,1100,2143,509,2543,7226,0.482,3480,1986,0.794,1576,861,1692,9725,718,3183,0.374,1189,3404,1079,4043,0.567,2291,1679,9081,28,600,2619,0.327,856,3795,1332,4668,0.53,2473,2023
DET,1884,308,2564,7140,0.454,3244,2106,0.771,1623,82,19805,Detroit Pistons,916,2112,453,2767,7222,0.489,3533,2149,0.777,1669,901,1718,9719,631,2732,0.36,984,3668,1108,4490,0.568,2549,1813,9045,29,574,2659,0.351,934,3480,1237,4481,0.516,2310,2023
MIA,1955,243,2533,6991,0.46,3215,1885,0.831,1567,82,19805,Miami Heat,796,2097,309,2702,6822,0.482,3288,1728,0.781,1350,729,1643,9003,571,2933,0.367,1077,3431,1288,3889,0.569,2211,1516,8977,30,655,2852,0.344,980,3329,1106,4139,0.54,2235,2023
